"OWF_ID","WatershedGroupName","DocumentType","PublicationDate","Website"
AlamosaRvrWFdn,Alamosa River Watershed Restoration Foundation,Watershed Plan,2005,http://cwcbweblink.state.co.us/weblink/0/doc/123626/Page1.aspx?searchid=da985f7b-9053-48f5-af6f-22dbcdeb250d
AnimasRvrStakeholdersGrp,Animas River Stakeholders Group,Watershed Plan,2013,http://www.animasriverstakeholdersgroup.org/
AnimasWP,Animas Watershed Partnership,Watershed Plan,2011,http://cwcbweblink.state.co.us/weblink/0/doc/158630/Electronic.aspx?searchid=f52eaa3b-282c-4e41-b395-af0422b655ca
BarrLakeMiltonReservoirWA,Barr Lake and Milton Reservoir Watershed Association,Watershed Plan,2008,http://www.barr-milton.org/wp-content/uploads/2011/08/BMW_WP_Draft_Text_102008.pdf
BearCrkWA,Bear Creek Watershed Association,Watershed Plan,2014,http://www.bearcreekwatershed.org/Watershed%20Plan.htm 
BigDryCrkWA,Big Dry Creek Watershed Association,Watershed Plan,2002,http://www.bigdrycreek.org/documents/FinalWatershedManagementJuly02.pdf
BigThompsonWFor,Big Thompson Watershed Forum,Watershed Plan,2007,http://www.btwatershed.org/2008/Reports/Final%20CWCB%20CWPF%20grant%20report_12-4-07.pdf 
BigThompsonWFor,Big Thompson Watershed Forum,Watershed Plan,2010,http://www.btwatershed.org/
BlueRvrWG,Blue River Watershed Group,Watershed Plan,2013,http://blueriverwatershed.org/wp-content/uploads/2013/02/Tenmile-Creek-Restoration-Project-Design-Report.pdf
BoulderCrkWI,Boulder Creek Watershed Initiative,Watershed Plan,2007,http://cwcbweblink.state.co.us/WebLink/DocView.aspx?id=123865&page=1&dbid=0
ChatfieldWAuth,Chatfield Watershed Authority,Watershed Plan,2014,http://chatfieldwatershedauthority.org/wp-content/uploads/2013/07/Item-2-Chatfield-Watershed-Plan_09-10-14_redlined-Final-Draft.pdf
ClearCrkWFdn,Clear Creek Watershed Foundation,Watershed Plan,2007,http://www.clearcreekwater.org/pdfs/CCWF-2007-report-optimized.pdf
CoalCrkCanyonWP,Coal Creek Canyon Watershed Partnership,Watershed Plan,2014,http://uppercoalcreek.com/wp-content/uploads/2014/11/Coal-Creek-Master-Plan-Report-Nov-2014.pdf
CoalCrkWC,Coal Creek Watershed Coalition,Watershed Plan,2005,http://www.coalcreek.org/documents-and-data.html
CoalCrkWC,Coal Creek Watershed Coalition,Watershed Plan,2014,https://www.colorado.gov/pacific/sites/default/files/WQ_nonpoint_source-2nd-Upper-Slate-River-Watershed-Plan%20Final-2014.pdf
CPRW,Coalition for the Poudre River Watershed,Watershed Plan,,https://www.colorado.gov/pacific/sites/default/files/WQ_nonpoint_source-2015-NPS-Projects-Combined.pdf
CUSP,Coalition for the Upper South Platte,Watershed Plan,2011,http://cusp.ws/wp-content/uploads/2014/10/TrailCreek_MasterPlanComp.pdf
CUSP,Coalition for the Upper South Platte,Watershed Plan,2011,http://www.cusp.ws/wp-content/uploads/2014/10/Sportsmen-Happy_MeadowsHydroReportComp.pdf  
CUSP,Coalition for the Upper South Platte,Watershed Plan,2013,http://cusp.ws/wp-content/uploads/2014/10/FinalWaldoCanyonFireMasterRestorationPlanComp.pdf
CUSP,Coalition for the Upper South Platte,Watershed Plan,2014,http://cusp.ws/
DoloresRvrDialogue,Dolores River Dialogue,Watershed Plan,2013,http://ocs.fortlewis.edu/drd/pdf/Dolores-Watershed-Plan-17-june-2013.pdf
EagleRvrWCoun,Eagle River Watershed Council,Watershed Plan,2013,http://www.townofeagle.org/DocumentCenter/View/5960
EagleRvrWCoun,Eagle River Watershed Council,Watershed Plan,1996,http://cwcbweblink.state.co.us/weblink/0/doc/136938/Electronic.aspx?searchid=eeac973e-818b-4075-b648-6d9a08192b4a
EagleRvrWCoun,Eagle River Watershed Council,Watershed Plan,2013,http://cwcbweblink.state.co.us/weblink/0/doc/193010/Electronic.aspx?searchid=f26ab306-ce4c-4ed2-9595-ae9c21e1e23e
Rico,East Fork Dolores (Town of Rico),Watershed Plan,2006,http://cwcbweblink.state.co.us/weblink/0/doc/137080/Electronic.aspx?searchid=eeac973e-818b-4075-b648-6d9a08192b4a
EstesVlyWC,Estes Valley Watershed Coalition,Watershed Plan,2014,http://static1.squarespace.com/static/52e9198ce4b09c239b5de2b1/t/544ffd8fe4b08204e31d663e/1414528399114/Fall+River+Concepts_102814.pdf
EstesVlyWC,Estes Valley Watershed Coalition,Watershed Plan,2014,http://static1.squarespace.com/static/5339ca4ee4b069950dee2c9a/t/544ffc10e4b03406cc8b834b/1414528016188/Fish+Creek+Concept+Designs_102814.pdf
FountainCrkW,Fountain Creek Watershed,Watershed Plan,2011,http://www.fountain-crk.org/files/REPORTS/corr_rest_masterplan101811_final.pdf
GroundworkDenver,Groundwork Denver,Watershed Plan,,https://www.colorado.gov/pacific/sites/default/files/WQ_nonpoint_source-2015-NPS-Projects-Combined.pdf
GunnisonBasinGrandVlySeleniumTF,Gunnison Basin and Grand Valley Selenium Task Force,Watershed Plan,2009,http://www.seleniumtaskforce.org/images/GB_Action_Plan_Updated_11-02-09.pdf
KeepItCleanPartnership,Keep It Clean Partnership,Watershed Plan,,http://www.keepitcleanpartnership.org/watershed/ 
KerberCrkResProj,Kerber Creek Restoration Project,Watershed Plan,2010,http://www.kerbercreek.org/watershedplan.pdf
LakeForkVlyConserv,Lake Fork Valley Conservancy,Watershed Plan,2012,http://www.lfvc.org/uploads/1/1/1/6/11162750/lfvc_long_term_monitoring_plan-final.pdf
LakeForkVlyConserv,Lake Fork Valley Conservancy,Watershed Plan,2012,http://www.lfvc.org/
LakeForkWG,Lake Fork Watershed Working Group,Watershed Plan,2012,http://coloradomtn.edu/wp-content/uploads/filebase/lfwwg/watershed-information/Final_Lake_Fork_Watershed_Plan_07292011.pdf
LWOG,Lefthand Watershed Oversight Group,Watershed Plan,2014,http://lwog.org/wp-content/uploads/final-left-hand-creek-watershed-master-plan2.pdf
LWOG,Lefthand Watershed Oversight Group,Watershed Plan,2005,http://lwog.org/document/watershed-plan/
LittleThompsonWC,Little Thompson Watershed Restoration Coalition,Watershed Plan,2014,http://www.ltwrc.org/Proposal%20-%20Tetra%20Tech_edited.pdf
MiddleColoradoWCoun,Middle Colorado Watershed Council,Watershed Plan,,https://www.colorado.gov/pacific/sites/default/files/WQ_nonpoint_source-2015-NPS-Projects-Combined.pdf
OwlMtnPartnership,Owl Mountain Partnership,Watershed Plan,2012,http://www.owlmountainpartnership.org/
OwlMtnPartnership,Owl Mountain Partnership,Watershed Plan,2012,http://owlmountainpartnership.org/yahoo_site_admin/assets/docs/Watershed_Plan_Summary_2012.8690615.htm
PineRvrWG,Pine River Watershed Group,Watershed Plan,2008,http://cwcbweblink.state.co.us/WebLink/ElectronicFile.aspx?docid=136973&&dbid=0
PurgatoireWP,Purgatoire Watershed Partnership,Watershed Plan,2014,http://purgatoirepartnership.org/wp-content/uploads/2015/PWP%20Watershed%20Plan%202014%20FINAL_new.pdf
RioGrandeHeadwatersResProj,Rio Grande Headwaters Restoration Project,Watershed Plan,2007,http://www.riograndeheadwaters.org/programs.html
RioGrandeHeadwatersResProj,Rio Grande Headwaters Restoration Project,Watershed Plan,2014,http://www.riograndewaterplan.com/rg-plan-0803.pdf
RoaringForkConserv,Roaring Fork Conservancy,Watershed Plan,2008,http://cwcbweblink.state.co.us/weblink/0/doc/136940/Electronic.aspx?searchid=91db0b1d-f9f9-46f4-b52e-ca4488adab58
RoaringForkConserv,Roaring Fork Conservancy,Watershed Plan,2012,http://www.roaringfork.org/pub/collaborative/2012.04.12%20Roaring%20Fork%20Watershed%20Plan%20FINAL.pdf
SanMiguelWC,San Miguel Watershed Coalition,Watershed Plan,1998,http://sanmiguelwatershed.org/uploads/docs/resource_management/smwcWatershedPlan.pdf
SnakeRvrWTF,Snake River Watershed Task Force,Watershed Plan,2013,http://www.snakerivertaskforce.org/Snake_River_Watershed_Task_Force/Data___Reports.html 
UncompahgreWP,Uncompahgre Watershed Partnership,Watershed Plan,2013,http://www.uncompahgrewatershed.org/wp-content/uploads/2012/03/UncompahgrePlan-Jan2013.pdf
UpperYampaWG,Upper Yampa Watershed Group,Watershed Plan,2014,http://www.flipgorilla.com/p/23023990364732953/show#/23023990364732953/2
WesternSlopeConservCenter,Western Slope Conservation Center,Watershed Plan,1997,
WillowCrkReclamationCom,Willow Creek Reclamation Committee,Watershed Plan,2003,http://www.willowcreede.org/completed-projects.html
